[2019-08-04 23:15:47,994] INFO Processed session termination for sessionid: 0x100001cbfd90001 (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-08-04 23:15:48,012] WARN Unable to read additional data from client sessionid 0x100001cbfd90001, likely client has closed socket (org.apache.zookeeper.server.NIOServerCnxn)
[2019-08-04 23:15:48,016] INFO Closed socket connection for client /0:0:0:0:0:0:0:1:50597 which had sessionid 0x100001cbfd90001 (org.apache.zookeeper.server.NIOServerCnxn)
[2019-08-04 23:15:48,132] INFO Got user-level KeeperException when processing sessionid:0x100001cbfd90002 type:multi cxid:0x15ae zxid:0x2b21 txntype:-1 reqpath:n/a aborting remaining multi ops. Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election (org.apache.zookeeper.server.PrepRequestProcessor)
[2019-08-04 23:16:16,622] INFO Reading configuration from: ./config/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
[2019-08-04 23:16:16,624] INFO autopurge.snapRetainCount set to 3 (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-08-04 23:16:16,624] INFO autopurge.purgeInterval set to 0 (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-08-04 23:16:16,624] INFO Purge task is not scheduled. (org.apache.zookeeper.server.DatadirCleanupManager)
[2019-08-04 23:16:16,625] WARN Either no config or no quorum defined in config, running  in standalone mode (org.apache.zookeeper.server.quorum.QuorumPeerMain)
[2019-08-04 23:16:16,639] INFO Reading configuration from: ./config/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
[2019-08-04 23:16:16,639] INFO Starting server (org.apache.zookeeper.server.ZooKeeperServerMain)
[2019-08-04 23:16:16,646] INFO Server environment:zookeeper.version=3.4.13-2d71af4dbe22557fda74f9a9b4309b15a7487f03, built on 06/29/2018 00:39 GMT (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,646] INFO Server environment:host.name=eniyanilavans-macbook-pro.local (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,646] INFO Server environment:java.version=11.0.1 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,646] INFO Server environment:java.vendor=Oracle Corporation (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,646] INFO Server environment:java.home=/Library/Java/JavaVirtualMachines/jdk-11.0.1.jdk/Contents/Home (org.apache.zookeeper.server.ZooKeeperServer)
